crid://crid_3_0	karaoke_program	sort_title_asc	カラオケ作品紹介１																					2008-01-10-01-01-01	2012-08-31-01-01-01																																																				アーティストフル１								
crid://crid_3_1	karaoke_program	sort_title_asc	カラオケ作品紹介２																					2008-01-10-01-01-01	2012-08-31-01-01-01																																																				アーティストフル１								
crid://crid_3_2	karaoke_program	sort_title_asc	カラオケ作品紹介３																					2008-01-10-01-01-01	2012-08-31-01-01-01																																																				アーティストフル１								
crid://crid_3_3	karaoke_program	sort_title_asc	カラオケ作品紹介４																					2008-01-10-01-01-01	2012-08-31-01-01-01																																																				アーティストフル２								
crid://crid_3_4	karaoke_program	sort_title_asc	カラオケ作品紹介５																					2008-01-10-01-01-01	2012-08-31-01-01-01																																																				アーティストフル２								
crid://crid_3_5	karaoke_program	sort_title_asc	カラオケ作品紹介６																					2008-01-10-01-01-01	2012-08-31-01-01-01																																																				アーティストフル２								
crid://crid_3_6	karaoke_program	sort_title_asc	カラオケ作品紹介７																					2008-01-10-01-01-01	2012-08-31-01-01-01																																																				アーティストフル２								
crid://crid_3_7	karaoke_program	sort_title_asc	カラオケ作品紹介８																					2008-01-10-01-01-01	2012-08-31-01-01-01																																																				アーティストフル３								
crid://crid_3_8	karaoke_program	sort_title_asc	カラオケ作品紹介９																					2008-01-10-01-01-01	2012-08-31-01-01-01																																																				アーティストフル３								
crid://crid_3_9	karaoke_program	sort_title_asc	カラオケ作品紹介１０																					2008-01-10-01-01-01	2012-08-31-01-01-01																																																				アーティストフル３								
crid://crid_3_10	karaoke_program	sort_title_asc	カラオケ作品紹介１１																					2008-01-10-01-01-01	2012-08-31-01-01-01																																																				アーティストフル３								
