crid://crid_20_0	012345678901234567890123456789012345678901234567890123456789012345678901234	01234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789	012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789	0123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789	01234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789	thumb/thumbm_0.jpg	thumb/thumbl_0.jpg	http://dummy.vod.ntt.jp/cgi-bin/agent/agent.cgi?ATESAKI=pgw&purchase_id=0000000002&cid=00f703ug55&crypt=no
crid://crid_20_1	£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶	01¥é¥ÜºîÉÊ¾Ò²ð£°£±£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°	¥é¥ÜºîÉÊ¾Ò²ð01¤Î¾ÜºÙ£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹	CopyRight(c)01short description	CopyRight(c)01long descriotion	thumb/thumbm_1.jpg	thumb/thumbl_1.jpg	
crid://crid_20_2	02title0123456789012345678901234567890123456789	02¥é¥ÜºîÉÊ¾Ò²ð£°£±£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°	¥é¥ÜºîÉÊ¾Ò²ð02¤Î¾ÜºÙ£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹	CopyRight(c)02short description	CopyRight(c)02long descriotion	thumb/thumbm_2.jpg	thumb/thumbl_2.jpg	http://dummy.vod.ntt.jp/cgi-bin/agent/agent.cgi?ATESAKI=pgw&purchase_id=0000000002&cid=00f703ug55&crypt=no
crid://crid_30_3	03title0123456789012345678901234567890123456789	03¥é¥ÜºîÉÊ¾Ò²ð£°£±£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°	¥é¥ÜºîÉÊ¾Ò²ð03¤Î¾ÜºÙ£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹	CopyRight(c)03short description	CopyRight(c)03long descriotion	thumb/thumbm_3.jpg	thumb/thumbl_3.jpg	http://dummy.vod.ntt.jp/cgi-bin/agent/agent.cgi?ATESAKI=pgw&purchase_id=0000000002&cid=00f703ug55&crypt=no
crid://crid_40_4	04title0123456789012345678901234567890123456789	04¥é¥ÜºîÉÊ¾Ò²ð£°£±£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°	¥é¥ÜºîÉÊ¾Ò²ð04¤Î¾ÜºÙ£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹	CopyRight(c)04short description	CopyRight(c)04long descriotion	thumb/thumbm_4.jpg	thumb/thumbl_4.jpg	http://dummy.vod.ntt.jp/cgi-bin/agent/agent.cgi?ATESAKI=pgw&purchase_id=0000000002&cid=00f703ug55&crypt=no
crid://crid_50_5	05title0123456789012345678901234567890123456789	05¥é¥ÜºîÉÊ¾Ò²ð£°£±£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°	¥é¥ÜºîÉÊ¾Ò²ð05¤Î¾ÜºÙ£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹	CopyRight(c)05short description	CopyRight(c)05long descriotion	thumb/thumbm_5.jpg	thumb/thumbl_5.jpg	http://dummy.vod.ntt.jp/cgi-bin/agent/agent.cgi?ATESAKI=pgw&purchase_id=0000000002&cid=00f703ug55&crypt=no
crid://crid_60_6	06title0123456789012345678901234567890123456789	06¥é¥ÜºîÉÊ¾Ò²ð£°£±£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°	¥é¥ÜºîÉÊ¾Ò²ð06¤Î¾ÜºÙ£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹	CopyRight(c)06short description	CopyRight(c)06long descriotion	thumb/thumbm_6.jpg	thumb/thumbl_6.jpg	http://dummy.vod.ntt.jp/cgi-bin/agent/agent.cgi?ATESAKI=pgw&purchase_id=0000000002&cid=00f703ug55&crypt=no
crid://crid_70_7	07title0123456789012345678901234567890123456789	07¥é¥ÜºîÉÊ¾Ò²ð£°£±£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°	¥é¥ÜºîÉÊ¾Ò²ð07¤Î¾ÜºÙ£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹	CopyRight(c)07short description	CopyRight(c)07long descriotion	thumb/thumbm_7.jpg	thumb/thumbl_7.jpg	http://dummy.vod.ntt.jp/cgi-bin/agent/agent.cgi?ATESAKI=pgw&purchase_id=0000000002&cid=00f703ug55&crypt=no
crid://crid_80_8	08title0123456789012345678901234567890123456789	08¥é¥ÜºîÉÊ¾Ò²ð£°£±£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°	¥é¥ÜºîÉÊ¾Ò²ð08¤Î¾ÜºÙ£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹	CopyRight(c)08short description	CopyRight(c)08long descriotion	thumb/thumbm_8.jpg	thumb/thumbl_8.jpg	http://dummy.vod.ntt.jp/cgi-bin/agent/agent.cgi?ATESAKI=pgw&purchase_id=0000000002&cid=00f703ug55&crypt=no
crid://crid_90_9	09title0123456789012345678901234567890123456789	09¥é¥ÜºîÉÊ¾Ò²ð£°£±£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°	¥é¥ÜºîÉÊ¾Ò²ð09¤Î¾ÜºÙ£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹£°£±£²£³£´£µ£¶£·£¸£¹	CopyRight(c)09short description	CopyRight(c)09long descriotion	thumb/thumbm_9.jpg	thumb/thumbl_9.jpg	http://dummy.vod.ntt.jp/cgi-bin/agent/agent.cgi?ATESAKI=pgw&purchase_id=0000000002&cid=00f703ug55&crypt=no
